order_id,order_date,customer_id,region,channel,manager,category,product,quantity,discount,revenue,cost,rating,feedback_reason,response_time_hours,is_return
10016,2026-01-01,C00969,Москва,сайт,Сидорова Н.К.,Датчики,Датчик D-17,3,0.07,54158,35625,3,комплектация,14,0
10017,2026-01-01,C01216,Новосибирск,почта,Ким В.В.,Датчики,Датчик D-17,3,0.03,52792,35067,2,доставка,41,0
10018,2026-01-01,C00329,Казань,почта,Громов А.Н.,Клапаны,Клапан V-12,2,0,70529,49993,4,нет проблемы,21,0
10019,2026-01-01,C01296,Казань,почта,Зайцева В.Л.,Компрессоры,Компрессор А-120,1,0,155245,112317,5,нет проблемы,22,0
10020,2026-01-01,C01878,Москва,телефон,Кузнецов И.В.,Насосы,Насос Н-45,1,0.03,71758,53818,5,нет проблемы,8,0
10021,2026-01-01,C00033,Москва,повторная продажа,Федорова М.А.,Клапаны,Клапан V-12,1,0.05,33977,23867,3,доставка,26,0
10022,2026-01-01,C00863,Казань,сайт,Новиков П.К.,Электродвигатели,Электродвигатель E-55,3,0.03,330439,250963,5,нет проблемы,12,0
10023,2026-01-01,C01073,Новосибирск,телефон,Сидорова Н.К.,Датчики,Датчик D-17,1,0.05,18714,12300,3,срок поставки,17,0
10024,2026-01-01,C01494,Санкт-Петербург,почта,Зайцева В.Л.,Электродвигатели,Электродвигатель E-55,1,0,126402,94744,2,срок поставки,30,1
10025,2026-01-01,C00634,Москва,повторная продажа,Зайцева В.Л.,Клапаны,Клапан V-12,1,0.03,37844,26592,5,нет проблемы,2,0
10026,2026-01-01,C01017,Новосибирск,повторная продажа,Орлова Е.И.,Клапаны,Клапан V-12,3,0.07,97958,70708,5,нет проблемы,6,0
10027,2026-01-01,C00933,Санкт-Петербург,телефон,Ким В.В.,Компрессоры,Компрессор А-120,1,0.07,128861,94819,4,нет проблемы,16,0
10028,2026-01-01,C00114,Москва,сайт,Петров М.С.,Компрессоры,Компрессор А-120,3,0.05,403407,290642,5,нет проблемы,7,0
10029,2026-01-01,C02095,Казань,сайт,Петров М.С.,Контроллеры,Контроллер C-9,4,0,239960,157588,4,нет проблемы,15,0
10030,2026-01-01,C01492,Москва,почта,Волкова Н.П.,Датчики,Датчик D-17,2,0,37117,24323,5,нет проблемы,14,0
10031,2026-01-01,C01553,Москва,телефон,Федорова М.А.,Компрессоры,Компрессор А-120,1,0,150098,106571,3,срок поставки,18,0
10032,2026-01-01,C01810,Казань,сайт,Смирнов Р.О.,Электродвигатели,Электродвигатель E-55,1,0,114297,82923,4,нет проблемы,7,0
10033,2026-01-01,C01272,Екатеринбург,почта,Ким В.В.,Фильтры,Фильтр F-30,4,0.03,103443,70257,4,нет проблемы,15,0
10034,2026-01-01,C01573,Москва,сайт,Смирнов Р.О.,Электродвигатели,Электродвигатель E-55,4,0.1,448570,322360,4,нет проблемы,8,0
10035,2026-01-01,C01021,Екатеринбург,сайт,Зайцева В.Л.,Датчики,Датчик D-17,3,0,57972,36287,4,нет проблемы,5,0
10036,2026-01-01,C01748,Екатеринбург,почта,Громов А.Н.,Контроллеры,Контроллер C-9,2,0.1,116959,79824,4,нет проблемы,17,0
10037,2026-01-01,C01125,Москва,почта,Смирнов Р.О.,Контроллеры,Контроллер C-9,3,0.07,171680,111139,5,нет проблемы,12,0
10038,2026-01-01,C01700,Москва,сайт,Волкова Н.П.,Компрессоры,Компрессор А-120,1,0.1,121742,85528,5,нет проблемы,12,0
10039,2026-01-01,C01954,Москва,почта,Иванова А.А.,Насосы,Насос Н-45,3,0.07,213891,163456,5,нет проблемы,14,0
10040,2026-01-01,C01118,Санкт-Петербург,сайт,Волкова Н.П.,Клапаны,Клапан V-12,3,0.07,106668,76985,5,нет проблемы,7,0
10041,2026-01-01,C00344,Казань,почта,Федорова М.А.,Редукторы,Редуктор R-8,2,0.03,186158,149108,4,нет проблемы,12,0
10042,2026-01-01,C01727,Москва,повторная продажа,Орлова Е.И.,Датчики,Датчик D-17,1,0.05,16764,10583,4,нет проблемы,14,0
10043,2026-01-02,C01013,Казань,сайт,Ким В.В.,Компрессоры,Компрессор А-120,4,0.05,526687,367854,5,нет проблемы,10,0
10044,2026-01-02,C00470,Москва,телефон,Алексеева Ю.С.,Контроллеры,Контроллер C-9,1,0,64655,41760,5,нет проблемы,7,0
10045,2026-01-02,C00995,Москва,повторная продажа,Петров М.С.,Электродвигатели,Электродвигатель E-55,1,0.05,113459,86274,5,нет проблемы,9,0
10046,2026-01-02,C01398,Екатеринбург,сайт,Иванова А.А.,Фильтры,Фильтр F-30,2,0.1,48916,33378,4,нет проблемы,13,0
10047,2026-01-02,C01981,Москва,повторная продажа,Смирнов Р.О.,Контроллеры,Контроллер C-9,4,0.07,245976,161550,5,нет проблемы,9,0
10048,2026-01-02,C01378,Москва,телефон,Иванова А.А.,Датчики,Датчик D-17,3,0,53536,34131,4,нет проблемы,7,0
10049,2026-01-02,C00783,Санкт-Петербург,сайт,Петров М.С.,Редукторы,Редуктор R-8,1,0.05,84241,67309,5,нет проблемы,10,0
10050,2026-01-02,C01255,Казань,почта,Федорова М.А.,Насосы,Насос Н-45,1,0.07,68523,52046,5,нет проблемы,18,0
10051,2026-01-02,C01984,Казань,почта,Орлова Е.И.,Редукторы,Редуктор R-8,1,0.1,79682,62960,4,документы,24,0
10052,2026-01-02,C00519,Казань,повторная продажа,Орлова Е.И.,Электродвигатели,Электродвигатель E-55,1,0,124280,90701,4,нет проблемы,15,0
10053,2026-01-02,C01957,Москва,сайт,Петров М.С.,Компрессоры,Компрессор А-120,3,0.07,378826,263516,2,срок поставки,29,0
10054,2026-01-02,C01705,Москва,почта,Кузнецов И.В.,Контроллеры,Контроллер C-9,2,0,120867,81652,5,нет проблемы,23,0
10055,2026-01-02,C00407,Екатеринбург,телефон,Алексеева Ю.С.,Редукторы,Редуктор R-8,1,0.07,81885,64232,4,нет проблемы,9,0
10056,2026-01-02,C00134,Казань,сайт,Ким В.В.,Насосы,Насос Н-45,1,0.03,70420,52309,4,нет проблемы,5,0
10057,2026-01-02,C01742,Новосибирск,сайт,Петров М.С.,Насосы,Насос Н-45,1,0.03,74576,57751,4,нет проблемы,2,0
10058,2026-01-02,C01799,Новосибирск,телефон,Петров М.С.,Редукторы,Редуктор R-8,3,0,253764,201648,5,нет проблемы,1,0
10059,2026-01-02,C00085,Санкт-Петербург,сайт,Алексеева Ю.С.,Редукторы,Редуктор R-8,1,0.1,81818,62101,3,срок поставки,17,0
10060,2026-01-02,C02015,Москва,сайт,Петров М.С.,Фильтры,Фильтр F-30,2,0.07,48506,33329,5,нет проблемы,9,0
10061,2026-01-02,C01325,Москва,почта,Петров М.С.,Редукторы,Редуктор R-8,1,0.03,85866,67806,4,неполное описание,21,0
10062,2026-01-02,C00212,Санкт-Петербург,почта,Ким В.В.,Клапаны,Клапан V-12,4,0.1,135967,93505,4,нет проблемы,17,0
10063,2026-01-02,C00057,Москва,сайт,Егорова Т.С.,Насосы,Насос Н-45,3,0.07,188712,147885,5,нет проблемы,12,0
10064,2026-01-02,C01702,Екатеринбург,сайт,Громов А.Н.,Датчики,Датчик D-17,1,0,18937,11792,4,нет проблемы,16,0
10065,2026-01-02,C01393,Санкт-Петербург,почта,Зайцева В.Л.,Редукторы,Редуктор R-8,1,0.03,94228,73536,5,нет проблемы,17,0
10066,2026-01-02,C01362,Москва,сайт,Егорова Т.С.,Электродвигатели,Электродвигатель E-55,2,0.1,215116,160906,4,нет проблемы,11,0
10067,2026-01-02,C01582,Новосибирск,почта,Федорова М.А.,Электродвигатели,Электродвигатель E-55,3,0.03,347324,252392,5,нет проблемы,21,0
10068,2026-01-02,C01872,Москва,телефон,Иванова А.А.,Электродвигатели,Электродвигатель E-55,4,0.03,458007,340990,5,нет проблемы,6,0
10069,2026-01-02,C01557,Казань,почта,Морозов Д.А.,Электродвигатели,Электродвигатель E-55,1,0.07,114683,83518,4,нет проблемы,19,0
10070,2026-01-02,C01778,Санкт-Петербург,повторная продажа,Петров М.С.,Фильтры,Фильтр F-30,1,0.1,21784,15173,5,нет проблемы,9,0
10071,2026-01-02,C00597,Москва,телефон,Ким В.В.,Электродвигатели,Электродвигатель E-55,1,0.05,119335,85598,4,нет проблемы,13,0
10072,2026-01-02,C01889,Екатеринбург,почта,Федорова М.А.,Редукторы,Редуктор R-8,1,0,92594,71679,4,нет проблемы,17,0
10073,2026-01-02,C01738,Москва,сайт,Новиков П.К.,Насосы,Насос Н-45,2,0.05,140687,104516,4,нет проблемы,14,0
10074,2026-01-02,C00090,Москва,повторная продажа,Громов А.Н.,Насосы,Насос Н-45,1,0.07,62745,47314,4,нет проблемы,15,0
10075,2026-01-02,C00943,Казань,сайт,Кузнецов И.В.,Фильтры,Фильтр F-30,2,0,55416,38916,5,нет проблемы,6,0
10076,2026-01-02,C01495,Москва,сайт,Новиков П.К.,Электродвигатели,Электродвигатель E-55,1,0.03,116808,88793,4,нет проблемы,14,0
10077,2026-01-02,C00674,Москва,повторная продажа,Орлова Е.И.,Компрессоры,Компрессор А-120,1,0.03,132372,95568,4,нет проблемы,8,0
10078,2026-01-02,C01499,Новосибирск,повторная продажа,Петров М.С.,Клапаны,Клапан V-12,1,0.05,37857,26818,3,документы,30,0
10079,2026-01-02,C00103,Казань,сайт,Кузнецов И.В.,Электродвигатели,Электродвигатель E-55,1,0.05,113616,85907,5,нет проблемы,11,0
10080,2026-01-02,C00153,Новосибирск,почта,Орлова Е.И.,Контроллеры,Контроллер C-9,1,0,65386,43037,4,нет проблемы,12,0
10081,2026-01-02,C00633,Москва,сайт,Зайцева В.Л.,Клапаны,Клапан V-12,1,0.07,35077,25203,5,нет проблемы,8,0
10082,2026-01-02,C00407,Санкт-Петербург,сайт,Федорова М.А.,Датчики,Датчик D-17,1,0.05,16260,10301,5,нет проблемы,7,0
10083,2026-01-02,C00088,Казань,повторная продажа,Иванова А.А.,Датчики,Датчик D-17,1,0.05,16702,10373,4,нет проблемы,11,0
10084,2026-01-02,C00605,Москва,сайт,Алексеева Ю.С.,Электродвигатели,Электродвигатель E-55,2,0,248453,184528,5,нет проблемы,7,0
10085,2026-01-02,C00065,Новосибирск,сайт,Сидорова Н.К.,Контроллеры,Контроллер C-9,1,0.03,62479,42168,4,совместимость,22,0
10086,2026-01-02,C00178,Санкт-Петербург,сайт,Новиков П.К.,Насосы,Насос Н-45,1,0,71726,55508,5,нет проблемы,12,0
10087,2026-01-02,C01817,Казань,повторная продажа,Петров М.С.,Электродвигатели,Электродвигатель E-55,1,0,109708,81068,4,нет проблемы,5,0
10088,2026-01-05,C01763,Москва,телефон,Петров М.С.,Компрессоры,Компрессор А-120,1,0.1,131509,93536,4,нет проблемы,9,0
10089,2026-01-05,C01858,Казань,сайт,Волкова Н.П.,Электродвигатели,Электродвигатель E-55,3,0.1,329857,239394,5,нет проблемы,13,0
10090,2026-01-05,C01769,Санкт-Петербург,сайт,Петров М.С.,Датчики,Датчик D-17,2,0.05,37701,24480,5,нет проблемы,10,0
10091,2026-01-05,C00211,Москва,почта,Орлова Е.И.,Электродвигатели,Электродвигатель E-55,1,0.1,107248,80275,5,нет проблемы,13,0
10092,2026-01-05,C01758,Казань,почта,Громов А.Н.,Фильтры,Фильтр F-30,1,0.07,23113,15495,4,нет проблемы,22,0
10093,2026-01-05,C01266,Казань,телефон,Зайцева В.Л.,Редукторы,Редуктор R-8,2,0.1,151384,121327,5,нет проблемы,12,0
10094,2026-01-05,C01541,Новосибирск,сайт,Волкова Н.П.,Насосы,Насос Н-45,2,0.07,124697,96272,5,нет проблемы,12,0
10095,2026-01-05,C01990,Москва,сайт,Кузнецов И.В.,Редукторы,Редуктор R-8,1,0.1,83160,66458,4,документы,27,0
10096,2026-01-05,C00904,Екатеринбург,сайт,Волкова Н.П.,Датчики,Датчик D-17,1,0.07,16133,10468,4,нет проблемы,9,0
10097,2026-01-05,C01451,Москва,сайт,Петров М.С.,Клапаны,Клапан V-12,3,0.03,115253,80616,3,цена,20,0
10098,2026-01-05,C00472,Санкт-Петербург,телефон,Волкова Н.П.,Датчики,Датчик D-17,1,0,19571,12599,4,нет проблемы,5,0
10099,2026-01-05,C00908,Екатеринбург,сайт,Морозов Д.А.,Компрессоры,Компрессор А-120,2,0.05,257344,189720,2,качество консультации,21,0
10100,2026-01-05,C00968,Казань,сайт,Петров М.С.,Электродвигатели,Электродвигатель E-55,1,0.03,121893,89282,5,нет проблемы,3,0
10101,2026-01-05,C01839,Казань,сайт,Федорова М.А.,Компрессоры,Компрессор А-120,2,0,275019,201765,5,нет проблемы,3,0
10102,2026-01-05,C01442,Казань,почта,Егорова Т.С.,Клапаны,Клапан V-12,2,0.05,68167,46927,4,нет проблемы,17,0
10103,2026-01-05,C00169,Москва,почта,Смирнов Р.О.,Компрессоры,Компрессор А-120,1,0.05,128421,94801,4,нет проблемы,17,0
10104,2026-01-05,C01794,Москва,почта,Смирнов Р.О.,Контроллеры,Контроллер C-9,2,0.1,108764,69401,2,совместимость,35,1
10105,2026-01-05,C00270,Санкт-Петербург,телефон,Морозов Д.А.,Редукторы,Редуктор R-8,3,0.07,250183,193120,5,нет проблемы,4,0
10106,2026-01-05,C01606,Москва,телефон,Сидорова Н.К.,Компрессоры,Компрессор А-120,2,0.1,276588,196838,5,нет проблемы,12,0
10107,2026-01-05,C00383,Москва,повторная продажа,Федорова М.А.,Редукторы,Редуктор R-8,1,0.05,90781,71581,5,нет проблемы,3,0
10108,2026-01-05,C00537,Москва,почта,Кузнецов И.В.,Фильтры,Фильтр F-30,1,0.03,24581,17288,4,неполное описание,21,0
10109,2026-01-05,C01168,Екатеринбург,сайт,Алексеева Ю.С.,Датчики,Датчик D-17,2,0.03,37160,22934,4,нет проблемы,1,0
10110,2026-01-05,C01565,Казань,почта,Егорова Т.С.,Электродвигатели,Электродвигатель E-55,1,0.07,116833,84668,4,нет проблемы,16,0
10111,2026-01-05,C00511,Екатеринбург,повторная продажа,Орлова Е.И.,Редукторы,Редуктор R-8,2,0.03,187075,141729,4,нет проблемы,16,0
10112,2026-01-05,C01700,Санкт-Петербург,сайт,Иванова А.А.,Компрессоры,Компрессор А-120,1,0.07,126040,93335,5,нет проблемы,3,0
10113,2026-01-05,C00157,Санкт-Петербург,почта,Орлова Е.И.,Датчики,Датчик D-17,1,0.03,16590,10974,4,нет проблемы,10,0
10114,2026-01-05,C01181,Екатеринбург,почта,Ким В.В.,Клапаны,Клапан V-12,2,0.07,70098,48035,4,доставка,33,1
10115,2026-01-05,C00991,Санкт-Петербург,сайт,Новиков П.К.,Насосы,Насос Н-45,2,0.07,124552,96756,4,нет проблемы,8,0
10116,2026-01-05,C02079,Казань,почта,Алексеева Ю.С.,Компрессоры,Компрессор А-120,1,0.07,128103,93311,4,нет проблемы,29,0
10117,2026-01-05,C01444,Санкт-Петербург,почта,Егорова Т.С.,Клапаны,Клапан V-12,1,0.07,38059,26553,2,доставка,33,1
10118,2026-01-05,C00172,Екатеринбург,телефон,Морозов Д.А.,Насосы,Насос Н-45,2,0.07,136742,106053,2,документы,14,0
10119,2026-01-05,C01790,Новосибирск,почта,Зайцева В.Л.,Клапаны,Клапан V-12,1,0.05,33423,23975,4,совместимость,25,0
10120,2026-01-05,C00324,Новосибирск,почта,Волкова Н.П.,Датчики,Датчик D-17,1,0.03,17934,11475,4,нет проблемы,19,0
10121,2026-01-05,C01819,Казань,повторная продажа,Морозов Д.А.,Фильтры,Фильтр F-30,1,0,25284,17187,5,нет проблемы,7,0
10122,2026-01-05,C01489,Новосибирск,телефон,Егорова Т.С.,Датчики,Датчик D-17,2,0.07,33168,22023,5,нет проблемы,12,0
10123,2026-01-05,C01843,Новосибирск,телефон,Морозов Д.А.,Электродвигатели,Электродвигатель E-55,1,0.1,109226,80489,3,документы,11,0
10124,2026-01-05,C01586,Казань,телефон,Зайцева В.Л.,Датчики,Датчик D-17,1,0.07,16694,10499,5,нет проблемы,10,0
10125,2026-01-05,C01852,Москва,сайт,Сидорова Н.К.,Редукторы,Редуктор R-8,1,0.1,79090,63337,5,нет проблемы,15,0
10126,2026-01-05,C00714,Москва,почта,Алексеева Ю.С.,Контроллеры,Контроллер C-9,2,0.05,124865,83719,5,нет проблемы,19,0
10127,2026-01-05,C00532,Новосибирск,сайт,Кузнецов И.В.,Датчики,Датчик D-17,2,0.03,37557,23146,4,нет проблемы,15,0
10128,2026-01-05,C00304,Санкт-Петербург,сайт,Смирнов Р.О.,Контроллеры,Контроллер C-9,2,0.07,119529,80497,5,нет проблемы,14,0
10129,2026-01-05,C00509,Москва,почта,Егорова Т.С.,Редукторы,Редуктор R-8,3,0.1,251195,191937,4,нет проблемы,17,0
10130,2026-01-05,C01241,Москва,сайт,Кузнецов И.В.,Компрессоры,Компрессор А-120,2,0.05,295225,212840,4,срок поставки,30,1
10131,2026-01-05,C00117,Москва,почта,Петров М.С.,Редукторы,Редуктор R-8,3,0.03,250878,197246,4,нет проблемы,21,0
10132,2026-01-05,C01238,Казань,телефон,Смирнов Р.О.,Компрессоры,Компрессор А-120,2,0.1,257516,187201,4,нет проблемы,7,0
10133,2026-01-05,C01308,Санкт-Петербург,повторная продажа,Новиков П.К.,Насосы,Насос Н-45,1,0,68061,51439,4,нет проблемы,11,0
10134,2026-01-06,C00655,Екатеринбург,почта,Громов А.Н.,Датчики,Датчик D-17,1,0,17964,11466,4,совместимость,37,0
10135,2026-01-06,C02071,Москва,почта,Смирнов Р.О.,Насосы,Насос Н-45,2,0.07,144547,109615,4,нет проблемы,20,0
10136,2026-01-06,C00441,Санкт-Петербург,сайт,Волкова Н.П.,Клапаны,Клапан V-12,1,0.07,35891,26097,5,нет проблемы,10,0
10137,2026-01-06,C00487,Санкт-Петербург,сайт,Сидорова Н.К.,Компрессоры,Компрессор А-120,1,0,142693,103240,4,цена,23,0
10138,2026-01-06,C01365,Екатеринбург,почта,Алексеева Ю.С.,Клапаны,Клапан V-12,1,0.05,37572,26110,4,нет проблемы,15,0
10139,2026-01-06,C01228,Казань,почта,Смирнов Р.О.,Редукторы,Редуктор R-8,1,0.05,92416,71245,4,качество консультации,35,0
10140,2026-01-06,C00933,Казань,почта,Новиков П.К.,Электродвигатели,Электродвигатель E-55,4,0.1,411728,312887,4,нет проблемы,14,0
10141,2026-01-06,C00836,Казань,почта,Волкова Н.П.,Компрессоры,Компрессор А-120,2,0.07,254500,185539,3,неполное описание,35,0
10142,2026-01-06,C01544,Санкт-Петербург,телефон,Морозов Д.А.,Редукторы,Редуктор R-8,3,0,281988,220214,5,нет проблемы,9,0
10143,2026-01-06,C02003,Казань,почта,Морозов Д.А.,Клапаны,Клапан V-12,1,0.05,36735,25516,4,качество консультации,40,0
10144,2026-01-06,C00324,Новосибирск,почта,Морозов Д.А.,Редукторы,Редуктор R-8,2,0.05,162439,128136,4,неполное описание,19,1
10145,2026-01-06,C00981,Екатеринбург,телефон,Ким В.В.,Клапаны,Клапан V-12,1,0.1,32947,23494,5,нет проблемы,14,0
10146,2026-01-06,C01949,Москва,повторная продажа,Смирнов Р.О.,Компрессоры,Компрессор А-120,1,0,142988,104505,4,документы,18,0
10147,2026-01-06,C00153,Москва,телефон,Зайцева В.Л.,Фильтры,Фильтр F-30,1,0,27697,18542,4,нет проблемы,8,0
10148,2026-01-06,C00154,Екатеринбург,почта,Иванова А.А.,Клапаны,Клапан V-12,3,0,123068,86744,5,нет проблемы,14,0
10149,2026-01-06,C01918,Новосибирск,телефон,Орлова Е.И.,Насосы,Насос Н-45,1,0.07,72200,55028,5,нет проблемы,7,0
10150,2026-01-06,C00792,Москва,сайт,Сидорова Н.К.,Насосы,Насос Н-45,1,0.05,70792,52081,4,нет проблемы,15,0
10151,2026-01-06,C01830,Санкт-Петербург,телефон,Алексеева Ю.С.,Фильтры,Фильтр F-30,1,0.05,23066,16110,3,комплектация,23,0
10152,2026-01-06,C01209,Казань,сайт,Морозов Д.А.,Насосы,Насос Н-45,2,0.05,140163,107874,3,качество консультации,25,0
10153,2026-01-06,C00895,Москва,сайт,Алексеева Ю.С.,Фильтры,Фильтр F-30,1,0.1,22926,16050,5,нет проблемы,2,0
10154,2026-01-06,C02071,Новосибирск,телефон,Ким В.В.,Насосы,Насос Н-45,1,0.07,67261,50653,5,нет проблемы,14,0
10155,2026-01-06,C00228,Москва,сайт,Смирнов Р.О.,Редукторы,Редуктор R-8,1,0,93625,74042,5,нет проблемы,7,0
10156,2026-01-06,C01736,Казань,почта,Морозов Д.А.,Компрессоры,Компрессор А-120,1,0.05,142671,101980,5,нет проблемы,8,0
10157,2026-01-06,C01534,Москва,почта,Зайцева В.Л.,Электродвигатели,Электродвигатель E-55,3,0.07,304554,223982,5,нет проблемы,11,0
10158,2026-01-06,C00094,Новосибирск,повторная продажа,Орлова Е.И.,Датчики,Датчик D-17,1,0.1,15672,10312,3,неполное описание,21,0
10159,2026-01-06,C00065,Санкт-Петербург,телефон,Ким В.В.,Редукторы,Редуктор R-8,1,0.03,84704,65417,3,неполное описание,24,0
10160,2026-01-06,C00232,Москва,сайт,Сидорова Н.К.,Насосы,Насос Н-45,2,0,138118,101822,4,нет проблемы,8,0
10161,2026-01-06,C00906,Екатеринбург,сайт,Волкова Н.П.,Редукторы,Редуктор R-8,2,0.05,175043,138918,5,нет проблемы,18,0
10162,2026-01-06,C01562,Новосибирск,сайт,Алексеева Ю.С.,Насосы,Насос Н-45,3,0.03,213743,161666,5,нет проблемы,8,0
10163,2026-01-06,C01897,Санкт-Петербург,телефон,Зайцева В.Л.,Редукторы,Редуктор R-8,1,0.03,91863,71531,4,нет проблемы,15,0
10164,2026-01-06,C00781,Санкт-Петербург,почта,Иванова А.А.,Компрессоры,Компрессор А-120,1,0.07,129301,91178,5,нет проблемы,11,0
10165,2026-01-06,C01364,Казань,телефон,Орлова Е.И.,Насосы,Насос Н-45,3,0.03,219732,167958,5,нет проблемы,12,0
10166,2026-01-06,C01625,Новосибирск,сайт,Зайцева В.Л.,Клапаны,Клапан V-12,4,0,158004,114192,4,нет проблемы,4,0
10167,2026-01-06,C01924,Москва,сайт,Алексеева Ю.С.,Насосы,Насос Н-45,1,0.05,66303,49924,4,нет проблемы,11,0
10168,2026-01-06,C01352,Санкт-Петербург,повторная продажа,Ким В.В.,Контроллеры,Контроллер C-9,1,0.1,60955,40965,2,цена,18,0
10169,2026-01-06,C00690,Санкт-Петербург,повторная продажа,Новиков П.К.,Датчики,Датчик D-17,2,0.05,33785,22165,4,нет проблемы,6,0
10170,2026-01-06,C00199,Екатеринбург,сайт,Алексеева Ю.С.,Электродвигатели,Электродвигатель E-55,1,0.1,114531,87371,5,нет проблемы,8,0
10171,2026-01-06,C01980,Казань,сайт,Федорова М.А.,Компрессоры,Компрессор А-120,1,0.03,129603,93351,4,нет проблемы,5,0
10172,2026-01-06,C00395,Казань,сайт,Егорова Т.С.,Редукторы,Редуктор R-8,1,0.1,84811,66304,3,цена,13,1
10173,2026-01-06,C00926,Казань,сайт,Орлова Е.И.,Компрессоры,Компрессор А-120,3,0.05,432751,302471,4,нет проблемы,10,0
10174,2026-01-06,C00702,Казань,повторная продажа,Петров М.С.,Фильтры,Фильтр F-30,3,0,72926,49878,5,нет проблемы,10,0
10175,2026-01-06,C01149,Екатеринбург,почта,Зайцева В.Л.,Редукторы,Редуктор R-8,2,0,193496,154982,3,совместимость,17,0
10176,2026-01-06,C00316,Москва,телефон,Орлова Е.И.,Редукторы,Редуктор R-8,3,0,293156,229937,4,нет проблемы,6,0
10177,2026-01-06,C01791,Екатеринбург,сайт,Ким В.В.,Компрессоры,Компрессор А-120,1,0.1,126986,93052,3,неполное описание,19,1
10178,2026-01-06,C01458,Екатеринбург,почта,Егорова Т.С.,Контроллеры,Контроллер C-9,4,0.07,255942,166699,5,нет проблемы,12,0
10179,2026-01-07,C01298,Казань,телефон,Морозов Д.А.,Датчики,Датчик D-17,1,0.1,16104,10102,2,совместимость,21,0
10180,2026-01-07,C00424,Москва,сайт,Иванова А.А.,Компрессоры,Компрессор А-120,1,0.05,128983,90206,4,нет проблемы,8,0
10181,2026-01-07,C00695,Казань,почта,Федорова М.А.,Компрессоры,Компрессор А-120,2,0.07,248656,177960,5,нет проблемы,11,0
10182,2026-01-07,C01011,Москва,сайт,Новиков П.К.,Датчики,Датчик D-17,1,0,17514,11012,5,нет проблемы,6,0
10183,2026-01-07,C01372,Москва,почта,Волкова Н.П.,Фильтры,Фильтр F-30,1,0.05,22750,15578,4,нет проблемы,26,0
10184,2026-01-07,C01308,Новосибирск,повторная продажа,Орлова Е.И.,Электродвигатели,Электродвигатель E-55,1,0.05,113951,85436,5,нет проблемы,13,0
10185,2026-01-07,C00737,Новосибирск,телефон,Федорова М.А.,Электродвигатели,Электродвигатель E-55,2,0.05,219753,166094,5,нет проблемы,13,0
10186,2026-01-07,C01676,Екатеринбург,сайт,Федорова М.А.,Электродвигатели,Электродвигатель E-55,3,0.03,339998,248051,5,нет проблемы,3,0
10187,2026-01-07,C02076,Москва,телефон,Зайцева В.Л.,Редукторы,Редуктор R-8,2,0.07,177088,134356,4,нет проблемы,10,0
10188,2026-01-07,C01017,Казань,телефон,Федорова М.А.,Клапаны,Клапан V-12,2,0.05,74529,54079,5,нет проблемы,9,0
10189,2026-01-07,C00910,Казань,сайт,Егорова Т.С.,Фильтры,Фильтр F-30,2,0.07,51971,35422,5,нет проблемы,11,0
