order_id,order_date,customer_id,region,channel,manager,category,product,quantity,discount,revenue,cost,rating,feedback_reason,response_time_hours,is_return,month,profit,margin_pct,has_problem,rating_group,nps_group
10012,2026-01-01,C00824,Казань,сайт,Новиков П.К.,Редукторы,Редуктор R-8,3,0.03,254855,203532,5,нет проблемы,14,0,2026-01,51323,0.201,False,высокая,promoter
10013,2026-01-01,C00242,Казань,повторная продажа,Ким В.В.,Насосы,Насос Н-45,1,0.1,64297,48055,2,качество консультации,11,1,2026-01,16242,0.253,True,низкая,detractor
10014,2026-01-01,C00780,Москва,сайт,Петров М.С.,Компрессоры,Компрессор А-120,1,0.05,141474,99839,2,неполное описание,26,0,2026-01,41635,0.294,True,низкая,detractor
10015,2026-01-01,C01838,Санкт-Петербург,почта,Сидорова Н.К.,Компрессоры,Компрессор А-120,1,0.0,149022,110903,2,цена,32,0,2026-01,38119,0.256,True,низкая,detractor
10016,2026-01-01,C00969,Москва,сайт,Сидорова Н.К.,Датчики,Датчик D-17,3,0.07,54158,35625,3,комплектация,14,0,2026-01,18533,0.342,True,низкая,detractor
10017,2026-01-01,C01216,Новосибирск,почта,Ким В.В.,Датчики,Датчик D-17,3,0.03,52792,35067,2,доставка,41,0,2026-01,17725,0.336,True,низкая,detractor
10018,2026-01-01,C00329,Казань,почта,Громов А.Н.,Клапаны,Клапан V-12,2,0.0,70529,49993,4,нет проблемы,21,0,2026-01,20536,0.291,False,средняя,passive
10019,2026-01-01,C01296,Казань,почта,Зайцева В.Л.,Компрессоры,Компрессор А-120,1,0.0,155245,112317,5,нет проблемы,22,0,2026-01,42928,0.277,False,высокая,promoter
10020,2026-01-01,C01878,Москва,телефон,Кузнецов И.В.,Насосы,Насос Н-45,1,0.03,71758,53818,5,нет проблемы,8,0,2026-01,17940,0.25,False,высокая,promoter
10021,2026-01-01,C00033,Москва,повторная продажа,Федорова М.А.,Клапаны,Клапан V-12,1,0.05,33977,23867,3,доставка,26,0,2026-01,10110,0.298,True,низкая,detractor
10022,2026-01-01,C00863,Казань,сайт,Новиков П.К.,Электродвигатели,Электродвигатель E-55,3,0.03,330439,250963,5,нет проблемы,12,0,2026-01,79476,0.241,False,высокая,promoter
10023,2026-01-01,C01073,Новосибирск,телефон,Сидорова Н.К.,Датчики,Датчик D-17,1,0.05,18714,12300,3,срок поставки,17,0,2026-01,6414,0.343,True,низкая,detractor
10024,2026-01-01,C01494,Санкт-Петербург,почта,Зайцева В.Л.,Электродвигатели,Электродвигатель E-55,1,0.0,126402,94744,2,срок поставки,30,1,2026-01,31658,0.25,True,низкая,detractor
10025,2026-01-01,C00634,Москва,повторная продажа,Зайцева В.Л.,Клапаны,Клапан V-12,1,0.03,37844,26592,5,нет проблемы,2,0,2026-01,11252,0.297,False,высокая,promoter
10026,2026-01-01,C01017,Новосибирск,повторная продажа,Орлова Е.И.,Клапаны,Клапан V-12,3,0.07,97958,70708,5,нет проблемы,6,0,2026-01,27250,0.278,False,высокая,promoter
10027,2026-01-01,C00933,Санкт-Петербург,телефон,Ким В.В.,Компрессоры,Компрессор А-120,1,0.07,128861,94819,4,нет проблемы,16,0,2026-01,34042,0.264,False,средняя,passive
10028,2026-01-01,C00114,Москва,сайт,Петров М.С.,Компрессоры,Компрессор А-120,3,0.05,403407,290642,5,нет проблемы,7,0,2026-01,112765,0.28,False,высокая,promoter
10029,2026-01-01,C02095,Казань,сайт,Петров М.С.,Контроллеры,Контроллер C-9,4,0.0,239960,157588,4,нет проблемы,15,0,2026-01,82372,0.343,False,средняя,passive
10030,2026-01-01,C01492,Москва,почта,Волкова Н.П.,Датчики,Датчик D-17,2,0.0,37117,24323,5,нет проблемы,14,0,2026-01,12794,0.345,False,высокая,promoter
10031,2026-01-01,C01553,Москва,телефон,Федорова М.А.,Компрессоры,Компрессор А-120,1,0.0,150098,106571,3,срок поставки,18,0,2026-01,43527,0.29,True,низкая,detractor
10032,2026-01-01,C01810,Казань,сайт,Смирнов Р.О.,Электродвигатели,Электродвигатель E-55,1,0.0,114297,82923,4,нет проблемы,7,0,2026-01,31374,0.274,False,средняя,passive
10033,2026-01-01,C01272,Екатеринбург,почта,Ким В.В.,Фильтры,Фильтр F-30,4,0.03,103443,70257,4,нет проблемы,15,0,2026-01,33186,0.321,False,средняя,passive
10034,2026-01-01,C01573,Москва,сайт,Смирнов Р.О.,Электродвигатели,Электродвигатель E-55,4,0.1,448570,322360,4,нет проблемы,8,0,2026-01,126210,0.281,False,средняя,passive
10035,2026-01-01,C01021,Екатеринбург,сайт,Зайцева В.Л.,Датчики,Датчик D-17,3,0.0,57972,36287,4,нет проблемы,5,0,2026-01,21685,0.374,False,средняя,passive
10036,2026-01-01,C01748,Екатеринбург,почта,Громов А.Н.,Контроллеры,Контроллер C-9,2,0.1,116959,79824,4,нет проблемы,17,0,2026-01,37135,0.318,False,средняя,passive
10037,2026-01-01,C01125,Москва,почта,Смирнов Р.О.,Контроллеры,Контроллер C-9,3,0.07,171680,111139,5,нет проблемы,12,0,2026-01,60541,0.353,False,высокая,promoter
10038,2026-01-01,C01700,Москва,сайт,Волкова Н.П.,Компрессоры,Компрессор А-120,1,0.1,121742,85528,5,нет проблемы,12,0,2026-01,36214,0.297,False,высокая,promoter
10039,2026-01-01,C01954,Москва,почта,Иванова А.А.,Насосы,Насос Н-45,3,0.07,213891,163456,5,нет проблемы,14,0,2026-01,50435,0.236,False,высокая,promoter
10040,2026-01-01,C01118,Санкт-Петербург,сайт,Волкова Н.П.,Клапаны,Клапан V-12,3,0.07,106668,76985,5,нет проблемы,7,0,2026-01,29683,0.278,False,высокая,promoter
10041,2026-01-01,C00344,Казань,почта,Федорова М.А.,Редукторы,Редуктор R-8,2,0.03,186158,149108,4,нет проблемы,12,0,2026-01,37050,0.199,False,средняя,passive
10042,2026-01-01,C01727,Москва,повторная продажа,Орлова Е.И.,Датчики,Датчик D-17,1,0.05,16764,10583,4,нет проблемы,14,0,2026-01,6181,0.369,False,средняя,passive
10043,2026-01-02,C01013,Казань,сайт,Ким В.В.,Компрессоры,Компрессор А-120,4,0.05,526687,367854,5,нет проблемы,10,0,2026-01,158833,0.302,False,высокая,promoter
10044,2026-01-02,C00470,Москва,телефон,Алексеева Ю.С.,Контроллеры,Контроллер C-9,1,0.0,64655,41760,5,нет проблемы,7,0,2026-01,22895,0.354,False,высокая,promoter
10045,2026-01-02,C00995,Москва,повторная продажа,Петров М.С.,Электродвигатели,Электродвигатель E-55,1,0.05,113459,86274,5,нет проблемы,9,0,2026-01,27185,0.24,False,высокая,promoter
10046,2026-01-02,C01398,Екатеринбург,сайт,Иванова А.А.,Фильтры,Фильтр F-30,2,0.1,48916,33378,4,нет проблемы,13,0,2026-01,15538,0.318,False,средняя,passive
10047,2026-01-02,C01981,Москва,повторная продажа,Смирнов Р.О.,Контроллеры,Контроллер C-9,4,0.07,245976,161550,5,нет проблемы,9,0,2026-01,84426,0.343,False,высокая,promoter
10048,2026-01-02,C01378,Москва,телефон,Иванова А.А.,Датчики,Датчик D-17,3,0.0,53536,34131,4,нет проблемы,7,0,2026-01,19405,0.362,False,средняя,passive
10049,2026-01-02,C00783,Санкт-Петербург,сайт,Петров М.С.,Редукторы,Редуктор R-8,1,0.05,84241,67309,5,нет проблемы,10,0,2026-01,16932,0.201,False,высокая,promoter
10050,2026-01-02,C01255,Казань,почта,Федорова М.А.,Насосы,Насос Н-45,1,0.07,68523,52046,5,нет проблемы,18,0,2026-01,16477,0.24,False,высокая,promoter
10051,2026-01-02,C01984,Казань,почта,Орлова Е.И.,Редукторы,Редуктор R-8,1,0.1,79682,62960,4,документы,24,0,2026-01,16722,0.21,True,средняя,passive
10052,2026-01-02,C00519,Казань,повторная продажа,Орлова Е.И.,Электродвигатели,Электродвигатель E-55,1,0.0,124280,90701,4,нет проблемы,15,0,2026-01,33579,0.27,False,средняя,passive
10053,2026-01-02,C01957,Москва,сайт,Петров М.С.,Компрессоры,Компрессор А-120,3,0.07,378826,263516,2,срок поставки,29,0,2026-01,115310,0.304,True,низкая,detractor
10054,2026-01-02,C01705,Москва,почта,Кузнецов И.В.,Контроллеры,Контроллер C-9,2,0.0,120867,81652,5,нет проблемы,23,0,2026-01,39215,0.324,False,высокая,promoter
10055,2026-01-02,C00407,Екатеринбург,телефон,Алексеева Ю.С.,Редукторы,Редуктор R-8,1,0.07,81885,64232,4,нет проблемы,9,0,2026-01,17653,0.216,False,средняя,passive
10056,2026-01-02,C00134,Казань,сайт,Ким В.В.,Насосы,Насос Н-45,1,0.03,70420,52309,4,нет проблемы,5,0,2026-01,18111,0.257,False,средняя,passive
10057,2026-01-02,C01742,Новосибирск,сайт,Петров М.С.,Насосы,Насос Н-45,1,0.03,74576,57751,4,нет проблемы,2,0,2026-01,16825,0.226,False,средняя,passive
10058,2026-01-02,C01799,Новосибирск,телефон,Петров М.С.,Редукторы,Редуктор R-8,3,0.0,253764,201648,5,нет проблемы,1,0,2026-01,52116,0.205,False,высокая,promoter
10059,2026-01-02,C00085,Санкт-Петербург,сайт,Алексеева Ю.С.,Редукторы,Редуктор R-8,1,0.1,81818,62101,3,срок поставки,17,0,2026-01,19717,0.241,True,низкая,detractor
10060,2026-01-02,C02015,Москва,сайт,Петров М.С.,Фильтры,Фильтр F-30,2,0.07,48506,33329,5,нет проблемы,9,0,2026-01,15177,0.313,False,высокая,promoter
10061,2026-01-02,C01325,Москва,почта,Петров М.С.,Редукторы,Редуктор R-8,1,0.03,85866,67806,4,неполное описание,21,0,2026-01,18060,0.21,True,средняя,passive
10062,2026-01-02,C00212,Санкт-Петербург,почта,Ким В.В.,Клапаны,Клапан V-12,4,0.1,135967,93505,4,нет проблемы,17,0,2026-01,42462,0.312,False,средняя,passive
10063,2026-01-02,C00057,Москва,сайт,Егорова Т.С.,Насосы,Насос Н-45,3,0.07,188712,147885,5,нет проблемы,12,0,2026-01,40827,0.216,False,высокая,promoter
10064,2026-01-02,C01702,Екатеринбург,сайт,Громов А.Н.,Датчики,Датчик D-17,1,0.0,18937,11792,4,нет проблемы,16,0,2026-01,7145,0.377,False,средняя,passive
10065,2026-01-02,C01393,Санкт-Петербург,почта,Зайцева В.Л.,Редукторы,Редуктор R-8,1,0.03,94228,73536,5,нет проблемы,17,0,2026-01,20692,0.22,False,высокая,promoter
10066,2026-01-02,C01362,Москва,сайт,Егорова Т.С.,Электродвигатели,Электродвигатель E-55,2,0.1,215116,160906,4,нет проблемы,11,0,2026-01,54210,0.252,False,средняя,passive
10067,2026-01-02,C01582,Новосибирск,почта,Федорова М.А.,Электродвигатели,Электродвигатель E-55,3,0.03,347324,252392,5,нет проблемы,21,0,2026-01,94932,0.273,False,высокая,promoter
10068,2026-01-02,C01872,Москва,телефон,Иванова А.А.,Электродвигатели,Электродвигатель E-55,4,0.03,458007,340990,5,нет проблемы,6,0,2026-01,117017,0.255,False,высокая,promoter
10069,2026-01-02,C01557,Казань,почта,Морозов Д.А.,Электродвигатели,Электродвигатель E-55,1,0.07,114683,83518,4,нет проблемы,19,0,2026-01,31165,0.272,False,средняя,passive
10070,2026-01-02,C01778,Санкт-Петербург,повторная продажа,Петров М.С.,Фильтры,Фильтр F-30,1,0.1,21784,15173,5,нет проблемы,9,0,2026-01,6611,0.303,False,высокая,promoter
10071,2026-01-02,C00597,Москва,телефон,Ким В.В.,Электродвигатели,Электродвигатель E-55,1,0.05,119335,85598,4,нет проблемы,13,0,2026-01,33737,0.283,False,средняя,passive
10072,2026-01-02,C01889,Екатеринбург,почта,Федорова М.А.,Редукторы,Редуктор R-8,1,0.0,92594,71679,4,нет проблемы,17,0,2026-01,20915,0.226,False,средняя,passive
10073,2026-01-02,C01738,Москва,сайт,Новиков П.К.,Насосы,Насос Н-45,2,0.05,140687,104516,4,нет проблемы,14,0,2026-01,36171,0.257,False,средняя,passive
10074,2026-01-02,C00090,Москва,повторная продажа,Громов А.Н.,Насосы,Насос Н-45,1,0.07,62745,47314,4,нет проблемы,15,0,2026-01,15431,0.246,False,средняя,passive
10075,2026-01-02,C00943,Казань,сайт,Кузнецов И.В.,Фильтры,Фильтр F-30,2,0.0,55416,38916,5,нет проблемы,6,0,2026-01,16500,0.298,False,высокая,promoter
10076,2026-01-02,C01495,Москва,сайт,Новиков П.К.,Электродвигатели,Электродвигатель E-55,1,0.03,116808,88793,4,нет проблемы,14,0,2026-01,28015,0.24,False,средняя,passive
10077,2026-01-02,C00674,Москва,повторная продажа,Орлова Е.И.,Компрессоры,Компрессор А-120,1,0.03,132372,95568,4,нет проблемы,8,0,2026-01,36804,0.278,False,средняя,passive
10078,2026-01-02,C01499,Новосибирск,повторная продажа,Петров М.С.,Клапаны,Клапан V-12,1,0.05,37857,26818,3,документы,30,0,2026-01,11039,0.292,True,низкая,detractor
10079,2026-01-02,C00103,Казань,сайт,Кузнецов И.В.,Электродвигатели,Электродвигатель E-55,1,0.05,113616,85907,5,нет проблемы,11,0,2026-01,27709,0.244,False,высокая,promoter
10080,2026-01-02,C00153,Новосибирск,почта,Орлова Е.И.,Контроллеры,Контроллер C-9,1,0.0,65386,43037,4,нет проблемы,12,0,2026-01,22349,0.342,False,средняя,passive
10081,2026-01-02,C00633,Москва,сайт,Зайцева В.Л.,Клапаны,Клапан V-12,1,0.07,35077,25203,5,нет проблемы,8,0,2026-01,9874,0.281,False,высокая,promoter
10082,2026-01-02,C00407,Санкт-Петербург,сайт,Федорова М.А.,Датчики,Датчик D-17,1,0.05,16260,10301,5,нет проблемы,7,0,2026-01,5959,0.366,False,высокая,promoter
10083,2026-01-02,C00088,Казань,повторная продажа,Иванова А.А.,Датчики,Датчик D-17,1,0.05,16702,10373,4,нет проблемы,11,0,2026-01,6329,0.379,False,средняя,passive
10084,2026-01-02,C00605,Москва,сайт,Алексеева Ю.С.,Электродвигатели,Электродвигатель E-55,2,0.0,248453,184528,5,нет проблемы,7,0,2026-01,63925,0.257,False,высокая,promoter
10085,2026-01-02,C00065,Новосибирск,сайт,Сидорова Н.К.,Контроллеры,Контроллер C-9,1,0.03,62479,42168,4,совместимость,22,0,2026-01,20311,0.325,True,средняя,passive
10086,2026-01-02,C00178,Санкт-Петербург,сайт,Новиков П.К.,Насосы,Насос Н-45,1,0.0,71726,55508,5,нет проблемы,12,0,2026-01,16218,0.226,False,высокая,promoter
10087,2026-01-02,C01817,Казань,повторная продажа,Петров М.С.,Электродвигатели,Электродвигатель E-55,1,0.0,109708,81068,4,нет проблемы,5,0,2026-01,28640,0.261,False,средняя,passive
10088,2026-01-05,C01763,Москва,телефон,Петров М.С.,Компрессоры,Компрессор А-120,1,0.1,131509,93536,4,нет проблемы,9,0,2026-01,37973,0.289,False,средняя,passive
10089,2026-01-05,C01858,Казань,сайт,Волкова Н.П.,Электродвигатели,Электродвигатель E-55,3,0.1,329857,239394,5,нет проблемы,13,0,2026-01,90463,0.274,False,высокая,promoter
10090,2026-01-05,C01769,Санкт-Петербург,сайт,Петров М.С.,Датчики,Датчик D-17,2,0.05,37701,24480,5,нет проблемы,10,0,2026-01,13221,0.351,False,высокая,promoter
10091,2026-01-05,C00211,Москва,почта,Орлова Е.И.,Электродвигатели,Электродвигатель E-55,1,0.1,107248,80275,5,нет проблемы,13,0,2026-01,26973,0.252,False,высокая,promoter
10092,2026-01-05,C01758,Казань,почта,Громов А.Н.,Фильтры,Фильтр F-30,1,0.07,23113,15495,4,нет проблемы,22,0,2026-01,7618,0.33,False,средняя,passive
10093,2026-01-05,C01266,Казань,телефон,Зайцева В.Л.,Редукторы,Редуктор R-8,2,0.1,151384,121327,5,нет проблемы,12,0,2026-01,30057,0.199,False,высокая,promoter
10094,2026-01-05,C01541,Новосибирск,сайт,Волкова Н.П.,Насосы,Насос Н-45,2,0.07,124697,96272,5,нет проблемы,12,0,2026-01,28425,0.228,False,высокая,promoter
10095,2026-01-05,C01990,Москва,сайт,Кузнецов И.В.,Редукторы,Редуктор R-8,1,0.1,83160,66458,4,документы,27,0,2026-01,16702,0.201,True,средняя,passive
10096,2026-01-05,C00904,Екатеринбург,сайт,Волкова Н.П.,Датчики,Датчик D-17,1,0.07,16133,10468,4,нет проблемы,9,0,2026-01,5665,0.351,False,средняя,passive
10097,2026-01-05,C01451,Москва,сайт,Петров М.С.,Клапаны,Клапан V-12,3,0.03,115253,80616,3,цена,20,0,2026-01,34637,0.301,True,низкая,detractor
10098,2026-01-05,C00472,Санкт-Петербург,телефон,Волкова Н.П.,Датчики,Датчик D-17,1,0.0,19571,12599,4,нет проблемы,5,0,2026-01,6972,0.356,False,средняя,passive
10099,2026-01-05,C00908,Екатеринбург,сайт,Морозов Д.А.,Компрессоры,Компрессор А-120,2,0.05,257344,189720,2,качество консультации,21,0,2026-01,67624,0.263,True,низкая,detractor
10100,2026-01-05,C00968,Казань,сайт,Петров М.С.,Электродвигатели,Электродвигатель E-55,1,0.03,121893,89282,5,нет проблемы,3,0,2026-01,32611,0.268,False,высокая,promoter
10101,2026-01-05,C01839,Казань,сайт,Федорова М.А.,Компрессоры,Компрессор А-120,2,0.0,275019,201765,5,нет проблемы,3,0,2026-01,73254,0.266,False,высокая,promoter
10102,2026-01-05,C01442,Казань,почта,Егорова Т.С.,Клапаны,Клапан V-12,2,0.05,68167,46927,4,нет проблемы,17,0,2026-01,21240,0.312,False,средняя,passive
10103,2026-01-05,C00169,Москва,почта,Смирнов Р.О.,Компрессоры,Компрессор А-120,1,0.05,128421,94801,4,нет проблемы,17,0,2026-01,33620,0.262,False,средняя,passive
10104,2026-01-05,C01794,Москва,почта,Смирнов Р.О.,Контроллеры,Контроллер C-9,2,0.1,108764,69401,2,совместимость,35,1,2026-01,39363,0.362,True,низкая,detractor
10105,2026-01-05,C00270,Санкт-Петербург,телефон,Морозов Д.А.,Редукторы,Редуктор R-8,3,0.07,250183,193120,5,нет проблемы,4,0,2026-01,57063,0.228,False,высокая,promoter
10106,2026-01-05,C01606,Москва,телефон,Сидорова Н.К.,Компрессоры,Компрессор А-120,2,0.1,276588,196838,5,нет проблемы,12,0,2026-01,79750,0.288,False,высокая,promoter
10107,2026-01-05,C00383,Москва,повторная продажа,Федорова М.А.,Редукторы,Редуктор R-8,1,0.05,90781,71581,5,нет проблемы,3,0,2026-01,19200,0.211,False,высокая,promoter
10108,2026-01-05,C00537,Москва,почта,Кузнецов И.В.,Фильтры,Фильтр F-30,1,0.03,24581,17288,4,неполное описание,21,0,2026-01,7293,0.297,True,средняя,passive
10109,2026-01-05,C01168,Екатеринбург,сайт,Алексеева Ю.С.,Датчики,Датчик D-17,2,0.03,37160,22934,4,нет проблемы,1,0,2026-01,14226,0.383,False,средняя,passive
10110,2026-01-05,C01565,Казань,почта,Егорова Т.С.,Электродвигатели,Электродвигатель E-55,1,0.07,116833,84668,4,нет проблемы,16,0,2026-01,32165,0.275,False,средняя,passive
10111,2026-01-05,C00511,Екатеринбург,повторная продажа,Орлова Е.И.,Редукторы,Редуктор R-8,2,0.03,187075,141729,4,нет проблемы,16,0,2026-01,45346,0.242,False,средняя,passive
10112,2026-01-05,C01700,Санкт-Петербург,сайт,Иванова А.А.,Компрессоры,Компрессор А-120,1,0.07,126040,93335,5,нет проблемы,3,0,2026-01,32705,0.259,False,высокая,promoter
10113,2026-01-05,C00157,Санкт-Петербург,почта,Орлова Е.И.,Датчики,Датчик D-17,1,0.03,16590,10974,4,нет проблемы,10,0,2026-01,5616,0.339,False,средняя,passive
10114,2026-01-05,C01181,Екатеринбург,почта,Ким В.В.,Клапаны,Клапан V-12,2,0.07,70098,48035,4,доставка,33,1,2026-01,22063,0.315,True,средняя,passive
10115,2026-01-05,C00991,Санкт-Петербург,сайт,Новиков П.К.,Насосы,Насос Н-45,2,0.07,124552,96756,4,нет проблемы,8,0,2026-01,27796,0.223,False,средняя,passive
10116,2026-01-05,C02079,Казань,почта,Алексеева Ю.С.,Компрессоры,Компрессор А-120,1,0.07,128103,93311,4,нет проблемы,29,0,2026-01,34792,0.272,False,средняя,passive
10117,2026-01-05,C01444,Санкт-Петербург,почта,Егорова Т.С.,Клапаны,Клапан V-12,1,0.07,38059,26553,2,доставка,33,1,2026-01,11506,0.302,True,низкая,detractor
10118,2026-01-05,C00172,Екатеринбург,телефон,Морозов Д.А.,Насосы,Насос Н-45,2,0.07,136742,106053,2,документы,14,0,2026-01,30689,0.224,True,низкая,detractor
10119,2026-01-05,C01790,Новосибирск,почта,Зайцева В.Л.,Клапаны,Клапан V-12,1,0.05,33423,23975,4,совместимость,25,0,2026-01,9448,0.283,True,средняя,passive
10120,2026-01-05,C00324,Новосибирск,почта,Волкова Н.П.,Датчики,Датчик D-17,1,0.03,17934,11475,4,нет проблемы,19,0,2026-01,6459,0.36,False,средняя,passive
10121,2026-01-05,C01819,Казань,повторная продажа,Морозов Д.А.,Фильтры,Фильтр F-30,1,0.0,25284,17187,5,нет проблемы,7,0,2026-01,8097,0.32,False,высокая,promoter
10122,2026-01-05,C01489,Новосибирск,телефон,Егорова Т.С.,Датчики,Датчик D-17,2,0.07,33168,22023,5,нет проблемы,12,0,2026-01,11145,0.336,False,высокая,promoter
10123,2026-01-05,C01843,Новосибирск,телефон,Морозов Д.А.,Электродвигатели,Электродвигатель E-55,1,0.1,109226,80489,3,документы,11,0,2026-01,28737,0.263,True,низкая,detractor
10124,2026-01-05,C01586,Казань,телефон,Зайцева В.Л.,Датчики,Датчик D-17,1,0.07,16694,10499,5,нет проблемы,10,0,2026-01,6195,0.371,False,высокая,promoter
10125,2026-01-05,C01852,Москва,сайт,Сидорова Н.К.,Редукторы,Редуктор R-8,1,0.1,79090,63337,5,нет проблемы,15,0,2026-01,15753,0.199,False,высокая,promoter
10126,2026-01-05,C00714,Москва,почта,Алексеева Ю.С.,Контроллеры,Контроллер C-9,2,0.05,124865,83719,5,нет проблемы,19,0,2026-01,41146,0.33,False,высокая,promoter
10127,2026-01-05,C00532,Новосибирск,сайт,Кузнецов И.В.,Датчики,Датчик D-17,2,0.03,37557,23146,4,нет проблемы,15,0,2026-01,14411,0.384,False,средняя,passive
10128,2026-01-05,C00304,Санкт-Петербург,сайт,Смирнов Р.О.,Контроллеры,Контроллер C-9,2,0.07,119529,80497,5,нет проблемы,14,0,2026-01,39032,0.327,False,высокая,promoter
10129,2026-01-05,C00509,Москва,почта,Егорова Т.С.,Редукторы,Редуктор R-8,3,0.1,251195,191937,4,нет проблемы,17,0,2026-01,59258,0.236,False,средняя,passive
10130,2026-01-05,C01241,Москва,сайт,Кузнецов И.В.,Компрессоры,Компрессор А-120,2,0.05,295225,212840,4,срок поставки,30,1,2026-01,82385,0.279,True,средняя,passive
10131,2026-01-05,C00117,Москва,почта,Петров М.С.,Редукторы,Редуктор R-8,3,0.03,250878,197246,4,нет проблемы,21,0,2026-01,53632,0.214,False,средняя,passive
10132,2026-01-05,C01238,Казань,телефон,Смирнов Р.О.,Компрессоры,Компрессор А-120,2,0.1,257516,187201,4,нет проблемы,7,0,2026-01,70315,0.273,False,средняя,passive
10133,2026-01-05,C01308,Санкт-Петербург,повторная продажа,Новиков П.К.,Насосы,Насос Н-45,1,0.0,68061,51439,4,нет проблемы,11,0,2026-01,16622,0.244,False,средняя,passive
10134,2026-01-06,C00655,Екатеринбург,почта,Громов А.Н.,Датчики,Датчик D-17,1,0.0,17964,11466,4,совместимость,37,0,2026-01,6498,0.362,True,средняя,passive
10135,2026-01-06,C02071,Москва,почта,Смирнов Р.О.,Насосы,Насос Н-45,2,0.07,144547,109615,4,нет проблемы,20,0,2026-01,34932,0.242,False,средняя,passive
10136,2026-01-06,C00441,Санкт-Петербург,сайт,Волкова Н.П.,Клапаны,Клапан V-12,1,0.07,35891,26097,5,нет проблемы,10,0,2026-01,9794,0.273,False,высокая,promoter
10137,2026-01-06,C00487,Санкт-Петербург,сайт,Сидорова Н.К.,Компрессоры,Компрессор А-120,1,0.0,142693,103240,4,цена,23,0,2026-01,39453,0.276,True,средняя,passive
10138,2026-01-06,C01365,Екатеринбург,почта,Алексеева Ю.С.,Клапаны,Клапан V-12,1,0.05,37572,26110,4,нет проблемы,15,0,2026-01,11462,0.305,False,средняя,passive
10139,2026-01-06,C01228,Казань,почта,Смирнов Р.О.,Редукторы,Редуктор R-8,1,0.05,92416,71245,4,качество консультации,35,0,2026-01,21171,0.229,True,средняя,passive
10140,2026-01-06,C00933,Казань,почта,Новиков П.К.,Электродвигатели,Электродвигатель E-55,4,0.1,411728,312887,4,нет проблемы,14,0,2026-01,98841,0.24,False,средняя,passive
10141,2026-01-06,C00836,Казань,почта,Волкова Н.П.,Компрессоры,Компрессор А-120,2,0.07,254500,185539,3,неполное описание,35,0,2026-01,68961,0.271,True,низкая,detractor
10142,2026-01-06,C01544,Санкт-Петербург,телефон,Морозов Д.А.,Редукторы,Редуктор R-8,3,0.0,281988,220214,5,нет проблемы,9,0,2026-01,61774,0.219,False,высокая,promoter
10143,2026-01-06,C02003,Казань,почта,Морозов Д.А.,Клапаны,Клапан V-12,1,0.05,36735,25516,4,качество консультации,40,0,2026-01,11219,0.305,True,средняя,passive
10144,2026-01-06,C00324,Новосибирск,почта,Морозов Д.А.,Редукторы,Редуктор R-8,2,0.05,162439,128136,4,неполное описание,19,1,2026-01,34303,0.211,True,средняя,passive
10145,2026-01-06,C00981,Екатеринбург,телефон,Ким В.В.,Клапаны,Клапан V-12,1,0.1,32947,23494,5,нет проблемы,14,0,2026-01,9453,0.287,False,высокая,promoter
